newspaper,length
sueddeutsche.de,3949
sueddeutsche.de,3940
sueddeutsche.de,1443
sueddeutsche.de,874
sueddeutsche.de,3880
sueddeutsche.de,4085
sueddeutsche.de,1385
sueddeutsche.de,4560
sueddeutsche.de,755
sueddeutsche.de,1863
sueddeutsche.de,2448
sueddeutsche.de,4862
sueddeutsche.de,4907
sueddeutsche.de,1827
sueddeutsche.de,4467
sueddeutsche.de,1990
sueddeutsche.de,5063
sueddeutsche.de,2723
sueddeutsche.de,2663
sueddeutsche.de,3011
sueddeutsche.de,248
sueddeutsche.de,5659
sueddeutsche.de,5103
sueddeutsche.de,2940
sueddeutsche.de,5368
sueddeutsche.de,2320
sueddeutsche.de,2255
sueddeutsche.de,230
sueddeutsche.de,4573
sueddeutsche.de,6582
sueddeutsche.de,4698
sueddeutsche.de,2810
sueddeutsche.de,4080
sueddeutsche.de,1654
sueddeutsche.de,2777
sueddeutsche.de,941
sueddeutsche.de,4667
sueddeutsche.de,1866
sueddeutsche.de,4214
sueddeutsche.de,2691
sueddeutsche.de,4303
sueddeutsche.de,3040
sueddeutsche.de,4545
sueddeutsche.de,2571
sueddeutsche.de,1600
sueddeutsche.de,3547
sueddeutsche.de,409
sueddeutsche.de,4021
sueddeutsche.de,4876
sueddeutsche.de,3406
sueddeutsche.de,1369
sueddeutsche.de,3140
sueddeutsche.de,4321
sueddeutsche.de,5320
sueddeutsche.de,3509
sueddeutsche.de,253
sueddeutsche.de,3644
sueddeutsche.de,8793
sueddeutsche.de,2933
sueddeutsche.de,4171
sueddeutsche.de,2747
