Datum,Ende,Ort,Thema
2019-06-27,2019-06-27,Marktplatz,"Mahnwache für Frieden, Versöhnung und Abrüstung"
2019-06-28,2019-06-28,Schweizer Eck in Osterholz,Gemeinsam für Frieden und Gerechtigkeit auf der Welt
2019-06-28,2019-06-28,Marktplatz,Fridays for Future- Klimaschutz
2019-06-28,2019-06-28,Gerhard-Rohlfs-Str/ Breite Straße ,Friedenskundgebung
2019-06-29,2019-06-29,Am Dom,Palästinamahnwache
2019-06-29,2019-06-29,Leibnizplatzpark,Klimaschutz- Taten statt Warten
2019-06-30,2019-06-30,Airport bremen,Versuchtstiertransporte
2019-07-01,2019-07-01,Oberer Domshof,Montagsdemonstration
2019-07-03,2019-07-03,Obernstraße/Ansgarikirchhof,Kleidung und deren Produktionsbedingungen
2019-07-04,2019-07-04,Marktplatz,"Mahnwache für den Frieden, versöhnung und Abrüstung"
2019-07-05,2019-07-05,Bremen Blumenthal,Konstituierende Sitzung des Ortsamtsbeirates Blumenthal
2019-07-05,2019-07-05,Schweizer Eck in Osterholz,Gemeinsam für Frieden und Gerechtigkeit auf der Welt
2019-07-05,2019-07-05,Marktplatz,Demonstration gegen den Klimawandel
2019-07-05,2019-07-05,Gerhard-Rohlfs-Str/ Breite Straße ,Friedenskundgebung
2019-07-06,2019-07-06,Am Dom,Palästinamahnwache
2019-07-06,2019-07-06,Bahnhofsvorplatz,Sterben im Mittelmeer-Freilassung einer Seenotretterin
2019-07-07,2019-07-07,Marktplatz,"Klimawandel, Umweltschutz und AKW Tihange"
2019-07-11,2019-07-11,Bahnhofsplatz 29,aktuelle Situation in der Erstaufnahme in der Lindenstraße
2019-07-11,2019-07-11,Marktplatz,"Mahnwache für den Frieden, versöhnung und Abrüstung"
2019-07-09,2019-07-12,Marktplatz / Dauermahnwache,Klimawandel
2019-07-12,2019-07-12,Bahnhofsvorplatz,Abgasfrei in meiner Stadt
2019-07-12,2019-07-12,Gerhard-Rohlfs-Str/ Breite Straße ,Friedenskundgebung
2019-07-12,2019-07-12,Schweizer Eck in Osterholz,Gemeinsam für Frieden und Gerechtigkeit auf der Welt
2019-07-13,2019-07-13,Grasmarkt,Menschenrechtsverletzungen
2019-07-13,2019-07-13,Bahnhofsvorplatz,Christentum und seine Vielfalt
2019-07-13,2019-07-13,Am Dom,Palästinamahnwache
2019-07-14,2019-07-14,Markplatz,Erinnerung Puschversuch in der Türkei
2019-07-18,2019-07-18,Marktplatz,"Mahnwache für den Frieden, versöhnung und Abrüstung"
2019-07-19,2019-07-19,Marktplatz,Klimaschutz
2019-07-19,2019-07-19,Gerhard-Rohlfs-Str/ Breite Straße ,Friedenskundgebung
2019-07-19,2019-07-19,Schweizer Eck in Osterholz,Gemeinsam für Frieden und Gerechtigkeit auf der Welt
2019-07-20,2019-07-20,Am Dom,Palästinamahnwache
2019-07-20,2019-07-20,vor dem Cinemaxx HbF,Warnstreik
2019-07-20,2019-07-20,Hbf zum Marktplatz,gg türkische Angriffe in Südkurdistan & gg die türkische Umsiedlungspolitik in Afrin/Syrien
2019-07-21,2019-07-21,vor dem Cinemaxx HbF,Warnstreik
2019-07-25,2019-07-25,Marktplatz,"Mahnwache für den Frieden, versöhnung und Abrüstung"
2019-07-25,2019-07-25,Katharinenhofkloster 3,Rotlicht aus! - Keine Genehmigung für das Großbordell Duckwitzstr. 69
2019-07-26,2019-07-26,Marktplatz,Mehr Klimaschutz
2019-07-26,2019-07-26,Gerhard-Rohlfs-Str/ Breite Straße ,Friedenskundgebung
2019-07-26,2019-07-26,Schweizer Eck in Osterholz,Gemeinsam für Frieden und Gerechtigkeit auf der Welt
2019-07-27,2019-07-27,"Sparkasse Bremen, Am Brill",Solidarität mit den syrischen Zivilisten in Idlib
2019-07-27,2019-07-27,Am Dom,Palästinamahnwache
2019-07-27,2019-07-27,Grasmarkt,Menschenrechtsverletzungen
2019-07-27,2019-07-27,Hanseatenhof,Veganismus
2019-08-28,2019-08-28,Flughafen Breme,Versuchtstiertransporte
2019-07-28,2019-07-28,nördliches Weserufer zwischen Sielwall und Reederstraße,Tierschutz/gegen Massentierhaltung
2019-07-30,2019-07-30,Stadthaus Vegesack,Protest gegen zwei Abgeordnete im Beirat
2019-08-01,2019-08-01,Marktpaltz,"Mahnwache für Frieden, Versöhnung und Abrüstung"
2019-08-02,2019-08-02,Cinemaxx Bremen,Streik
2019-08-02,2019-08-02,Gerhard-Rohlfs-Str/ Breite Straße ,Friedenskundgebung
2019-08-02,2019-08-02,vor dem Cinemaxx HbF,Warnstreik
2019-08-02,2019-08-02,Marktplatz,Mehr Klimaschutz
2019-08-02,2019-08-02,Schweizer Eck in Osterholz,Gemeinsam für Frieden und Gerechtigkeit auf der Welt
2019-08-03,2019-08-03,Hanseatenhof,Veganismus
2019-08-03,2019-08-03,Markplatz,Jahrestag des Genozid an den Eziden im Nordirak
2019-08-05,2019-08-05,Ecke Obernstraße/Ansgarikirchhof,"Straßenzeitung zum Thema ""Kleidung und deren Produktionsbedingungen"""
2019-08-05,2019-08-05,Marktplatz,Montagsdemonstration
2019-08-06,2019-08-06,Marktplatz,74. Jahrestag der Atombombenabwurfe in Hiroshima und Nagasaki
2019-08-07,2019-08-07,Marktplatz,Konflikte in Afrine/Nordsyrien
2019-08-08,2019-08-08,Marktpaltz,"Mahnwache für Frieden, Versöhnung und Abrüstung"
2019-08-08,2019-08-08,Marktplatz,Konflikte in Afrine/Nordsyrien
2019-08-09,2019-08-09,Schweizer Eck in Osterholz,Gemeinsam für Frieden und Gerechtigkeit auf der Welt
2019-08-09,2019-08-09,Grasmarkt,Mehr Klimaschutz Jetzt
2019-08-09,2019-08-09,Gerhard-Rohlfs-Str/ Breite Straße ,Friedenskundgebung
2019-08-09,2019-08-09,Cinemaxx Bremen,Warnstreik
2019-08-09,2019-08-09,Marktplatz,Konflikte in Afrine/Nordsyrien
2019-08-10,2019-08-10,Cinemaxx Bremen,Warnstreik
2019-08-10,2019-08-10,Bahnhofsvorplatz,Bundesweiter Protestaufruf gegen Assad und seine Verbündeten! Steht auf für Idlib!
2019-08-10,2019-08-10,Bahnhofsvorplatz,Christentum und seine Vielfalt
2019-08-10,2019-08-10,Marktplatz,Konflikte in Afrine/Nordsyrien
2019-08-13,2019-08-13,Bahnhofsvorplatz,Veganismus
2019-08-15,2019-08-15,Marktpaltz,"Mahnwache für Frieden, Versöhnung und Abrüstung"
2019-08-16,2019-08-16,Gerhard-Rohlfs-Str/ Breite Straße ,Friedenskundgebung
2019-08-16,2019-08-16,Schweizer Eck in Osterholz,Gemeinsam für Frieden und Gerechtigkeit auf der Welt
2019-08-17,2019-08-17,Oberer Domshof,Palästinamahnwache
2019-08-17,2019-08-17,Grasmarkt,Inhaftierte Menschenrechtler*innen
2019-08-17,2019-08-17,Cinemaxx Bremen,Warnstreik
2019-08-17,2019-08-17,Hanseatenhof,Veganismus
2019-08-20,2019-08-20,Bürgermeister-Smidt-Str.,Zusammenang zwischen Ernährung und Klimaschutz
2019-08-20,2019-08-20,Martinistraße ,Zusammenang zwischen Ernährung und Klimaschutz
2019-08-20,2019-08-20,Am Brill,Zusammenang zwischen Ernährung und Klimaschutz
2019-08-20,2019-08-20,Herdentor,Zusammenang zwischen Ernährung und Klimaschutz
2019-08-20,2019-08-20,Am Wall,Zusammenang zwischen Ernährung und Klimaschutz
2019-08-20,2019-08-20,Bahnhofstraße ,Zusammenang zwischen Ernährung und Klimaschutz
2019-08-20,2019-08-20,Breitenweg,Zusammenang zwischen Ernährung und Klimaschutz
2019-08-20,2019-08-20,Von Kiel über Bremen nach Dötingen,"Gemeinsam Fahren, gemeinsam Kämpfen für unsere Rechte"
2019-08-21,2019-08-21,Staatsarchiv Bremen (Präsident-Kennedy-Platz),Sowjetische Kriegsgefangene in dem ehemaligen Reitstall in Feldhören 1
2019-08-21,2019-08-21,Marktplatz zum Bahnhofsvorplatz,Klimaschutz und eine gerechte Klimapolitik
2019-08-22,2019-08-22,Marktpaltz,"Mahnwache für Frieden, Versöhnung und Abrüstung"
2019-08-23,2019-08-23,Bahnhofvorplatz,Menschenrechtsverletzung in Jammu und Kashmir
2019-08-23,2019-08-23,Cinemaxx Bremen,Warnstreik
2019-08-23,2019-08-23,Amtsgericht Bremen Blumenthal,Gerichtverh. gegen Personen des Circus Voyage wegen Verstoß gegen das Tierschutzgesetz
2019-08-23,2019-08-23,Gerhard-Rohlfs-Str/ Breite Straße ,Friedenskundgebung
2019-08-23,2019-08-23,Schweizer Eck in Osterholz,Gemeinsam für Frieden und Gerechtigkeit auf der Welt
2019-08-24,2019-08-24,"Sparkasse Bremen, Am Brill",die Opfer des Giftgasangriffs in der Region Ghouta östlich von Damaskus am 21.08.2019
2019-08-24,2019-08-24,Cinemaxx Bremen,Warnstreik
2019-08-24,2019-08-24,Ziegenmarkt zum Hbf,Gegen die Absetzung des Bürgermeisters in Diyarbakir/Van/Mardin
2019-08-24,2019-08-24,Oberer Domshof,Palästinamahnwache
2019-08-24,2019-08-24,Hbf bis Ulrichsplatz,sichtbar-selbstbewusst-solidarisch
2019-08-25,2019-08-25,Flughafen Terminal 1,Tierversuche und versuchstiertransporte durch Air France-KLM
2019-08-26,2019-08-26,Medienhaus in der Schwachhauser Heerstraße 78,gegen den geplanten Abriss des Bremer Medienhauses
2019-08-27,2019-08-27,Marktplatz,Gegen die Absetzung des Bürgermeisters in Diyarbakir/Van/Mardin der HDP- Partei
2019-08-28,2019-08-28,Marktplatz,Gegen die Absetzung des Bürgermeisters in Diyarbakir/Van/Mardin der HDP- Partei
2019-08-28,2019-08-28,Marktplatz,Gegen die Absetzung des Bürgermeisters in Diyarbakir/Van/Mardin der HDP- Partei
2019-08-29,2019-08-29,Delmemarkt,"Gedenken an den durch den sog. ""NSU"" ermordeten Händler Habil Kilic"
2019-08-30,2019-08-30,Domsheide vor Kapitel 8,"gegen Kriege, für Völkerfreundschaft und Menschenrechte"
2019-08-30,2019-08-30,Bahnhofsvorplatz,Demonstrieren für den Klimaschutz und eine gerechtere Klimapolitik
2019-08-30,2019-08-30,Gerhard-Rohlfs-Str/ Breite Straße ,Friedenskundgebung
2019-08-30,2019-08-30,Schweizer Eck in Osterholz,Gemeinsam für Frieden und Gerechtigkeit auf der Welt
2019-08-31,2019-08-31,Marktplatz,Antikriegstag
2019-08-31,2019-08-31,Oberer Domshof,Palästinamahnwache
2019-09-01,2019-09-01,Marktplatz,Veganismus
2019-09-02,2019-09-02,Marktplatz,Montagsdemonstration
2019-09-03,2019-09-03,Haupteingang Columbus-Cruise-Center Bremerhaven,"TUIs Untertützung von Meereszoos, Meereszoos"
2019-09-06,2019-09-06,Gerhard-Rohlfs-Straße/ Breite Straße,Friedenskundgebung
2019-09-06,2019-09-06,Schweizer Eck in Osterholz,Gemeinsam für Frieden und Gerechtigkeit auf der Welt
2019-09-06,2019-09-06,Bahnhofsvorplatz zur Schillerstraße Nr.10,Der Regenwald brennt und nichts passiert
2019-09-07,2019-09-07,Domshof,Palästinamahnwache
2019-09-07,2019-09-07,Marktplatz,Klimaschutz
2019-09-07,2019-09-07,Duckwitzstr. 69,Rotlicht aus!
2019-09-07,2019-09-07,Marktplatz,Veganismus
2019-09-11,2019-09-11,Platz vor dem Bürgerhaus Oslebshausen,Kein Klärschlamm-Ofen im Hafen
2019-09-11,2019-09-11,Grundschule Oderschule(K) zum Hohentorsplatz,Verkehrsberuhigung im Hohentor sowie Forderung von Querungshilfen
2019-09-12,2019-09-12,Bürgermeister-Smidt-Str.,Aufklährung über Bekleidung ohne Tierleid
2019-09-13,2019-09-13,Martinistr.,Aufklährung über Bekleidung ohne Tierleid
2019-09-14,2019-09-14,Am Brill,Aufklährung über Bekleidung ohne Tierleid
2019-09-15,2019-09-15,Bahnhofstraße ,Aufklährung über Bekleidung ohne Tierleid
2019-09-16,2019-09-16,Breitenweg,Aufklährung über Bekleidung ohne Tierleid
2019-09-13,2019-09-13,Gerhard-Rohlfs-Straße/ Breite Straße,Friedenskundgebung
2019-09-13,2019-09-13,Marktplatz,"Ein weiterer Freitag, der 13. für das Klima"
2019-09-13,2019-09-13,Schweizer Eck in Osterholz,Gemeinsam für Frieden und Gerechtigkeit auf der Welt
2019-09-14,2019-09-14,Hanseatenhof,Veganismus
2019-09-14,2019-09-14,Domshof,Palästinamahnwache
2019-09-14,2019-09-14,Bahnhofsvorplatz,Christentum und seine Vielfalt
2019-09-15,2019-09-15,Grillgut Messe/ Halle 7,Aufklährung über das Tierleid bei Fleischkonsum/ Protest gegen die Grillgut-Messe
2019-09-15,2019-09-15,ZBV-Fläche ÖVB Arena über A281 zum Domshof,Fahrrad Demonstration zur schaffung vergleichbar Bedingungen von Fahrad- und Autoverkehr
2019-08-16,2019-08-16,Marktplatz,Klimaschutz und eine gerechte Klimapolitik
2019-08-17,2019-08-17,Bahnhofsplatz,Aktuell politische Informationen über Venezuela und die Sanktionen der USA
2019-09-20,2019-09-20,Gerhard-Rohlfs-Straße/ Breite Straße,Friedenskundgebung
2019-09-20,2019-09-20,Von der Schule bis zum Hbf,"Exkursion ""Politische Beteiligung in der BRD"""
2019-09-20,2019-09-20,Friedrich-Ebert-Straße,Verbesserung des Radverkehrs in der Friedrich-Ebert-Straße
2019-09-20,2019-09-20,Hbf über Neustadt zum Marktplatz,gerechte Klimapolitik und Klimaschutz
2019-09-20,2019-09-20,Teerhofbrücke,Aufwecken dramatische Klimasituation der Erde
2019-09-20,2019-09-20,Kreuzug Friedrich-Ebert Str./ Osterstraße,Blockade-Frühstück
2019-09-20,2019-09-20,Neustadts Bahnhof,zukunftsfähige und ökologische Mobilität
2019-09-20,2019-09-20,Schweizer Eck in Osterholz,Gemeinsam für Frieden und Gerechtigkeit auf der Welt
2019-09-21,2019-09-21,Medienhaus ind der Schwachhauser Heerstraße 78,gegen den geplanten Abriss des Bremer Medienhauses
2019-09-21,2019-09-21,An der Wollkämmerei (Bremen-Blumethal,E-Autokorso Elektromobilität
2019-09-21,2019-09-21,Marktplatz,Mahnwache anlässlich des Welt Friedenstages der Vereinten Nationen
2019-09-21,2019-09-21,Hanseatenhof,Veganismus
2019-09-21,2019-09-21,Domshof,Palästinamahnwache
2019-09-21,2019-09-21,Marktplatz,Klimaschutz
2019-09-23,2019-09-23,Bürgermeister-Smidt-Str.,Aufklährung über Bekleidung ohne Tierleid und seziell Daunen
2019-09-23,2019-09-23,Martinistr.,Aufklährung über Bekleidung ohne Tierleid und seziell Daunen
2019-09-23,2019-09-23,Am Brill,Aufklährung über Bekleidung ohne Tierleid und seziell Daunen
2019-09-23,2019-09-23,Bahnhofstraße ,Aufklährung über Bekleidung ohne Tierleid und seziell Daunen
2019-09-23,2019-09-23,Breitenweg,Aufklährung über Bekleidung ohne Tierleid und seziell Daunen
2019-09-25,2019-09-25,Bahnhofsvorplatz Richtung Marktplatz,Forderungen an die neuen Senatorinnen für Gesundheit und Soziales
2019-09-26,2019-09-26,"vor dem Gebäude des Senators für Umwelt, Bau und Verkehr",Verbot von Totschlagfallen
2019-09-27,2019-09-27,Gerhard-Rohlfs-Straße/ Breite Straße,Friedenskundgebung
2019-09-27,2019-09-27,Schweizer Eck in Osterholz,Gemeinsam für Frieden und Gerechtigkeit auf der Welt
2019-09-27,2019-09-27,Marktplatz,Tanzdemo für Klimagerechtikeit
2019-09-28,2019-09-28,Domshof,Palästinamahnwache
2019-09-28,2019-09-28,Parkplatz Lüderitzstrasse Nr. 12-18,Umbennenung der Lüderitzstrasse
2019-09-28,2019-09-28,Brenor-Gelände,Aufklärung über und gegen das Leid von Zirkustieren
2019-09-28,2019-09-28,Fußgängerzone vor dem Bahnhofsvorplatz,Die Bibel
2019-09-28,2019-09-28,Marktplatz Richtung Bahnhofsvorplatz,Unterstützung unseres Volkes in Ägypten gegen korrupte faschistische Regime
2019-09-29,2019-09-29,Nahe des Schalters von Air France-KLM,Tierversuche und versuchstiertransporte durch Air France-KLM
2019-09-30,2019-09-30,Bahnhofsvorplatz,"""Solidarität mit unserem Volk in Syrien"""
2019-10-02,2019-10-02,Vor dem Kino Schauburg,Versammlung gegen Antisemitismus
2019-10-02,2019-10-02,Bahnhofsvorplatz Richtung Marktplatz,"""Gedenktag der Psychatrie-Toten"""
2019-10-03,2019-10-03,Bahnhofsvorplatz,Veganismus
2019-10-03,2019-10-03,Marktplatz,"Mahnwache für Frieden, Versöhnung und Abrüstung"
2019-10-03,2019-10-03,Marktplatz,Gottes Güte und seine Barmherzigkeit
2019-10-03,2019-10-03,Ziegenmarkt,"""Die Rolle Deutschlands in der Welt"""
2019-10-04,2019-10-04,Gerhard-Rohlfs-Straße/ Breite Straße,Friedenskundgebung
2019-10-04,2019-10-04,Markplatz,"Mehr Klimaschutz, JETZT!"
2019-10-04,2019-10-04,Schweizer Eck in Osterholz,Gemeinsam für Frieden und Gerechtigkeit auf der Welt
2019-10-05,2019-10-05,Bahnhofsvorplatz,"""Nein für Gewalt - Ja für Frieden"""
2019-10-05,2019-10-05,Antikolonialdenkmal Richtung Theater am Goetheplatz,"""Aufmerksamkeit auf die Steinkohleindustrie und ihre katastrophalen Folgen"""
2019-10-07,2019-10-07,Bahnhofsvorplatz,Stoppt die Invasion der türkischen Armee auf Nordsyrien
2019-10-07,2019-10-07,Marktplatz,Montagsdemonstration
2019-10-09,2019-10-09,Marktplatz,Stoppt die Invasion der türkischen Armee auf Nordsyrien
2019-10-09,2019-10-09,Marktplatz,Freiheit für die politischen Gefangenen in Spanien
2019-10-10,2019-10-10,Marktplatz,"Mahnwache für Frieden, Versöhnung und Abrüstung"
2019-10-10,2019-10-10,Bahnhofsvorplatz zu Marktplatz,Stoppt die Invasion der türkischen Armee auf Nordsyrien
2019-10-10,2019-10-10,Marktplatz,Gottes Güte und seine Barmherzigkeit
2019-10-11,2019-10-11,Gerhard-Rohlfs-Straße/ Breite Straße,Friedenskundgebung
2019-10-11,2019-10-11,Marktplatz,"Mehr Klimaschutz, JETZT!"
2019-10-11,2019-10-11,Schweizer Eck in Osterholz,Gemeinsam für Frieden und Gerechtigkeit auf der Welt
2019-10-12,2019-10-12,Bahnhofsvorplatz bis Marktplatz,Türkische Armee raus aus Nord Syrien
2019-10-12,2019-10-12,Hanseatenhof,Veganismus
2019-10-12,2019-10-12,Bremer Innenstadt,Menschenrechte schützen - Konzernklagen stoppen
2019-10-12,2019-10-12,Bahnhofsvorplatz,Christentum und seine Vielfalt
2019-10-12,2019-10-12,Marktplatz,"""Global Frackdown Day"""
2019-10-14,2019-10-14,Domshof,Türkische Armee raus aus Nord Syrien
2019-10-15,2019-10-15,Bürgermeister-Smidt-Str./Martinistr./Am Brill,"""Vegan fürs Klima und die Tiere"""
2019-10-15,2019-10-15,Domshof,Türkische Armee raus aus Nord Syrien
2019-10-15,2019-10-15,"Domsheide 8, 28195 Bremen",Freiheit für politisch Gefangene in Spanien
2019-10-15,2019-10-15,"Hanna-Kunath-Str. 11, 28199 Bremen",Solidaritätsbekundung für Kollegen aus Hessen
2019-10-15,2019-10-15,Bahnhofsstraße/Breitenweg,"""Vegan fürs Klima und die Tiere"""
2019-10-16,2019-10-16,Domshof,Türkische Armee raus aus Nord Syrien
2019-10-16,2019-10-16,Vegesack Richtung Blumenthal,Stoppt den Krieg in Nord Syrien
2019-10-17,2019-10-17,Liebfrauenkirchhof,"Mahnwache für Frieden, Versöhnung und Abrüstung"
2019-10-18,2019-10-18,Gerhard-Rohlfs-Straße/ Breite Straße,Friedenskundgebung
2019-10-18,2019-10-18,Bahnhofsvorplatz,"Mehr Klimaschutz, JETZT!"
2019-10-18,2019-10-18,Schweizer Eck in Osterholz,Gemeinsam für Frieden und Gerechtigkeit auf der Welt
2019-10-18,2019-10-18,Huckelriede Richtung Domshof,Türkei raus aus Rojava
2019-10-18,2019-10-18,"Domsheide 8, 28195 Bremen",Rüstungshochburg Bremen
2019-10-19,2019-10-19,Antikolonialdenkmal Richtung Ziegenmarkt,Bleiberecht
2019-10-19,2019-10-19,Hanseatenhof,Veganismus
2019-10-20,2019-10-20,Gustav-Deetjen-Allee,Show von Cesar Millan
2019-10-22,2019-10-22,Domshof,Türkische Armee raus aus Nord Syrien
2019-10-23,2019-10-23,Domshof,Türkische Armee raus aus Nord Syrien
2019-10-23,2019-10-23,Goetheplatz,Solidarität für Chile
2019-10-24,2019-10-24,Grünfläche Überseemuseum zum Grasmarkt,Zukunft Bildung jetzt!
2019-10-24,2019-10-24,Liebfrauenkirchhof,Liebfrauenkirchhof
2019-10-24,2019-10-24,Grasmarkt,Zukunft Bildung jetzt!
2019-10-25,2019-10-25,Gerhard-Rohlfs-Straße/ Breite Straße,Friedenskundgebung
2019-10-25,2019-10-25,Oberer Domshof,"Mehr Klimaschutz, JETZT!"
2019-10-25,2019-10-25,Schweizer Eck in Osterholz,Gemeinsam für Frieden und Gerechtigkeit auf der Welt
2019-10-26,2019-10-26,Hanseatenhof,Veganismus
2019-10-26,2019-10-26,Bahnhofsplatz (vor Star Inn Hotel),Freiheit für politisch Gefangene in Spanien
2019-10-26,2019-10-26,Schweizer Eck in Osterholz,Gemeinsam für Frieden und Gerechtigkeit auf der Welt
2019-10-27,2019-10-27,Flughafen Terminal 1,Versuchstiertransporte durch Air France-KLM
2019-10-27,2019-10-27,Domshof,Demo für Libanon
2019-10-27,2019-10-27,Schweizer Eck in Osterholz,Gemeinsam für Frieden und Gerechtigkeit auf der Welt
2019-10-28,2019-10-28,Schweizer Eck in Osterholz,Gemeinsam für Frieden und Gerechtigkeit auf der Welt
2019-10-28,2019-10-28,Domshof,Humanitäre Hilfe für Rojava/Nordsyrien
2019-08-29,2019-08-29,Marktpaltz,"Mahnwache für Frieden, Versöhnung und Abrüstung"
2019-10-29,2019-10-29,Schweizer Eck in Osterholz,Gemeinsam für Frieden und Gerechtigkeit auf der Welt
2019-10-29,2019-10-29,norwegisches Konsulat (Faulenstr. 2/12),Ein Protest gegen Ölbohrungen in der Arktis
2019-10-30,2019-10-30,Schweizer Eck in Osterholz,Gemeinsam für Frieden und Gerechtigkeit auf der Welt
2019-10-30,2019-10-30,Domshof,Stoppt den Krieg der Türkei gegen Rojava/Nordsyrien!!! Sofort!!
2019-10-31,2019-10-31,Liebfrauenkirchhof,"Mahnwache für Frieden, Versöhnung und Abrüstung"
2019-10-31,2019-10-31,Schweizer Eck in Osterholz,Gemeinsam für Frieden und Gerechtigkeit auf der Welt
2019-11-01,2019-11-01,Sögestraße - Bahnhofsvorplatz,Zombiewalk: Fleisch nur für Zombies
2019-11-01,2019-11-01,Oberer Domshof,Freiheit für politisch Gefangene in Spanien
2019-11-01,2019-11-01,Gerhard-Rohlfs-Straße/ Breite Straße,Friedenskundgebung
2019-11-01,2019-11-01,"Goetheplatz über Sielwall, Hauptbahnhof zum Domshof",Stoppt den Krieg der Türkei gegen Rojava/Nordsyrien!!! Sofort!!
2019-11-01,2019-11-01,Domshof,Oberer Domshof
2019-11-01,2019-11-01,Schweizer Eck in Osterholz,Gemeinsam für Frieden und Gerechtigkeit auf der Welt
2019-11-02,2019-11-02,Oberer Domshof,gesellschaftspolitische Themen im Einklang mit der Bibel
2019-11-02,2019-11-02,Goetheplatz,Solidarität mit Chile
2019-11-02,2019-11-02,Hanseatenhof,Veganismus
2019-11-02,2019-11-02,Schweizer Eck in Osterholz,Gemeinsam für Frieden und Gerechtigkeit auf der Welt
2019-11-03,2019-11-03,HillmannPlatz,Tierschutz - gegen den sexuellen Missbrauch von Tieren
2019-11-04,2019-11-04,Marktplatz,Bremer Montagsdemonstration
2019-11-06,2019-11-06,Schwachhauser Heerstarße 235,Forderung nach Verkauf des vorgesehenen Grundstücks an die Wohngruppe
2019-11-06,2019-11-06,Marktplatz,Forderung nach Verkauf des vorgesehenen Grundstücks an die Wohngruppe
2019-11-06,2019-11-06,Bahnhofsvorplatz,Stoppt den Krieg der Türkei gegen Rojava/Nordsyrien!!! Sofort!!
2019-11-07,2019-11-07,Liebfrauenkirchhof/Ecke Sögestraße,Donnerstagsmahnwache
2019-11-08,2019-11-08,Marktplatz bis Haltestelle am Brill und zurück,Tierschutz/gegen Massentierhaltung
2019-11-08,2019-11-08,Oberer Domshof,"Mehr Klimaschutz, JETZT!"
