Datum,Beginn,Ende,Ort,Veranstalter,Thema,Teilnehmer
8/21/19,11:00,15:00,"Kirchgasse / Langgasse, 65183 Wiesbaden",Albert Schweitzer Stiftung für unsere Mitwelt,Tierschutz / gegen Massentierhaltung,--
8/29/19,11:00,15:00,"Kirchgasse / Langgasse, 65183 Wiesbaden",Albert Schweitzer Stiftung für unsere Mitwelt,Tierschutz / gegen Massentierhaltung,--
9/3/19,9:00,16:00,"Bahnhofsplatz, 65185 Wiesbaden, bis Dernsches Gelände, 65183 Wiesbaden",Somali Community Service e. V.,Probleme des Identitätsnachweis somalischer Staatsangehöriger,--
9/3/19,18:00,20:00,"Bereich zwischen Marktkirche und Rathaus, 65183 Wiesbaden",LSG Betriebsräte und LH-Konzern Mitarbeiter,Protest gegen den Verkauf der Lufthansa Sparte LSG,--
9/4/19,14:00,18:00,"Kirchgasse / Langgasse, 65183 Wiesbaden",Albert Schweitzer Stiftung für unsere Mitwelt,Tierschutz / gegen Massentierhaltung,--
9/5/19,16:30,19:00,"Mauritiusplatz, 65183 Wiesbaden","DGB Deutscher Gewerkschaftsbund, Büro Wiesbaden",Kundgebung zum Antikriegstag,--
9/7/19,13:00,19:30,"Mauritiusplatz, 65183 Wiesbaden",Pottershaus freie Christliche Gemeinde e. V.,Gebet- und Musikabend,--
9/11/19,11:00,15:00,"Kirchgasse / Langgasse, 65183 Wiesbaden",Albert Schweitzer Stiftung für unsere Mitwelt,Tierschutz / gegen Massentierhaltung,--
9/14/19,11:30,12:15,"Bahnhofsplatz, 65185 Wiesbaden, bis Wallauer Weg, 65205 Wiesbaden",IAA-Sternfahrt,"Verkehrswende, weg von einer rein auto-zentrierten Verkehrspolitik",--
9/14/19,12:00,16:00,"Langgasse / Ecke Schützenhofstraße, 65183 Wiesbaden",Albert Schweitzer Stiftung für unsere Mitwelt,Tierrecht / gegen Massentierhaltung,--
9/14/19,12:30,15:00,"Bahnhofsplatz 1, 65185 Wiesbaden","Die PARTEI, Kreisverband Wiesbaden",Mahnwache gegen den Missbrauch gelber Westen,--
9/14/19,12:30,14:00,"Reisinger Anlage, 65183 Wiesbaden",Wiesbadener Bündnis für Demokratie,Für ein buntes Wiesbaden - Nein zu Hetze und Rassismus,--
9/14/19,13:00,17:30,"Bahnhofsplatz, 65185 Wiesbaden, bis Schlossplatz, 65183 Wiesbaden",#WirSindVielMehr,"Meinungsfreiheit, politische Missstände, Kriminalität",--
9/17/19,16:00,17:30,"Geschwister-Stock-Platz, 65185 Wiesbaden",DGB Wiesbaden Rheingau-Taunus & BI Gemeinwohl hat Vorfahrt,Mietendeckel jetzt,--
9/19/19,12:00,16:00,"Kirchgasse / Langgasse, 65183 Wiesbaden",Albert Schweitzer Stiftung für unsere Mitwelt,Tierschutz / gegen Massentierhaltung,--
19.09.2019,18:00,10:00,"Luisenplatz, 65185 Wiesbaden",Fridays for Future,Make Ministers Care Again - Fridays for Future Earth Strike,--
20.09.2019,18:00,10:00,"Luisenplatz, 65185 Wiesbaden",Fridays for Future,Make Ministers Care Again - Fridays for Future Earth Strike,--
9/20/19,10:00,12:00,"Luisenplatz, 65185 Wiesbaden, bis Bahnhofsplatz, 65185 Wiesbaden",Fridays for Future,Earth Strike - Alle fürs Klima,--
9/20/19,12:30,13:30,"Bahnhof Kastel bis Theodor-Heuss-Brücke, 55252 Mainz-Kastel",Fridays for Future / Parents for Future,Klimakrise,--
9/21/19,13:00,17:00,"Faulbrunnenplatz, 65183 Wiesbaden",Pottershaus Wiesbaden e. V.,Frieden in unfriedlichen Zeiten,--
9/21/19,14:00,15:30,"Theodor-Heuss-Brücke bis An der Ringkirche, 65197 Wiesbaden",Piratenpartei Wiesbaden (Bündnis Verkehrswende Wiesbaden),Mobilitätswende jetzt!,--
9/23/19,9:00,13:00,"Dernsches Gelände, 65183 Wiesbaden","Kassegn Gebeyehu, Gebreyes",Kundgebung über die Freilassung politischen in Äthiopia,--
9/26/19,10:00,11:00,"Bahnhofsplatz, 65185 Wiesbaden",Fridays for Future,Week for Climate,--
9/26/19,11:00,15:00,"Kirchgasse / Langgasse, 65183 Wiesbaden",Albert Schweitzer Stiftung für unsere Mitwelt,Tierschutz / gegen Massentierhaltung,--
10/1/19,12:00,13:30,"Mainzer Straße 80, 65189 Wiesbaden",PETA Deutschland e. V.,Demo & Petitionsübergabe für ein Verbot von Totschlagfallen,--
10/2/19,14:00,18:00,"Kirchgasse / Langgasse, 65183 Wiesbaden",Albert Schweitzer Stiftung für unsere Mitwelt,Tierschutz / gegen Massentierhaltung,--
10/3/19,14:00,17:00,"Theodor-Heuss-Brücke bis Basketballfeld Reduit, 55252 Mainz-Kastel",Die PARTEI ,Wiedervereinigung zwischen Mainz und Wiesbaden,--
10/5/19,10:00,11:30,"Alt Auringen 65 bis August-Ruf-Straße 18 a, 65207 Wiesbaden",Frau Petra Klein,Ein Tier darf keine Sache sein,--
10/7/19,10:00,19:00,"Mauritiusplatz, 65183 Wiesbaden",Kunst- und Kreativwerkstatt,Klimawandel,--
10/9/19,17:00,18:00,"Schlossplatz, 65183 Wiesbaden",Extinction Rebellion Wiesbaden zusammen mit Buddhistischen Glaubensgemeinschaften,Sit-in - Meditieren für das Leben,--
10/9/19,18:00,19:30,"Mauritiusplatz, 65183 Wiesbaden",Marxistisch-Leninistische Partei Deutschlands,Türkei-Invasion in Syrien,--
10/10/19,11:00,15:00,"Kirchgasse / Langgasse, 65183 Wiesbaden",Albert Schweitzer Stiftung für unsere Mitwelt,Tierschutz / gegen Massentierhaltung,--
10/11/19,12:00,14:00,"Bahnhofsplatz, 65185 Wiesbaden, bis Schlossplatz, 65183 Wiesbaden",Fridays for Future,Fridays for Future,--
10/12/19,12:00,16:00,"Kirchgasse 50-58, 65183 Wiesbaden",Albert Schweitzer Stiftung für unsere Mitwelt,Tierschutz / gegen Massentierhaltung,--
10/12/19,12:00,18:00,"Mauritiusplatz, 65183 Wiesbaden",Anonymous for the Voiceless,Tierrechte / Veganismus,--
10/13/19,14:00,16:00,"Alt Auringen 65 bis August-Ruf-Straße 18 a, 65207 Wiesbaden",Rhein-Main vermisste / gefundene Tiere,Aiko,--
10/14/19,18:00,19:30,"Mauritiusplatz, 65183 Wiesbaden",Marxistisch-Leninistische Partei Deutschland,Stoppt den völkerrechtswidrigen Angriffskrieg der türkischen Armee,--
10/17/19,11:00,15:00,"Kirchgasse / Langgasse, 65183 Wiesbaden",Albert Schweitzer Stiftung für unsere Mitwelt,Tierschutz / gegen Massentierhaltung,--
10/18/19,14:00,18:00,"Schlossplatz, 65183 Wiesbaden",Herr Ahmet Agatay,Angriffe der Türkei / IS auf das kurdische Volk,--
10/19/19,10:00,18:00,"Mauritiusplatz, 65183 Wiesbaden",Kunst- und Kreativwerkstatt,Klima,--
10/19/19,14:00,15:00,"Mauritiusplatz, 65183 Wiesbaden",Kirche von St. Augustines of Canterbury,"""Die-in"" für den Klimanotstand",--
10/21/19,18:00,19:30,"Mauritiusplatz, 65183 Wiesbaden",Marxistisch-Leninistische Partei Deutschland,Stoppt den faschistischen Angriffskrieg der türkischen Armee,--
10/23/19,11:00,15:00,"Kirchgasse / Langgasse, 65183 Wiesbaden",Albert Schweitzer Stiftung für unsere Mitwelt,Tierschutz / gegen Massentierhaltung,--
10/26/19,10:00,18:00,"Kirchgasse Ecke Friedrichstraße / zum Mauritiusplatz, 65183 Wiesbaden",Direktversicherungsgeschädigte e. V.,Information & Demo / Kundgebung gegen die Doppelverbeitragung zu Kranken- und Pflegekasse auf Direktversicherungen / Betriebsrenten,--
10/28/19,18:00,20:00,"Mauritiusplatz, 65183 Wiesbaden, bis Bahnhofsplatz, 65185 Wiesbaden",Marxistisch-Leninistische Partei Deutschland,Hände weg von Rojava,--
11/1/19,14:00,18:00,"Kirchgasse, 65183 Wiesbaden, Ecke Faulbrunnenstraße, 65183 Wiesbaden",Albert Schweitzer Stiftung für unsere Mitwelt,Tierschutz / gegen Massentierhaltung,--
11/2/19,11:30,14:30,"Mauritiusplatz, 65183 Wiesbaden",Anonymous for the Voiceless,Tierrechte / Veganismus,--
11/6/19,14:00,18:00,"Kirchgasse / Langgasse, 65183 Wiesbaden",Albert Schweitzer Stiftung für unsere Mitwelt,Tierschutz / gegen Massentierhaltung,--
11/9/19,11:30,17:00,"Mauritiusplatz, 65183 Wiesbaden",Potters Haus (freie Christliche Gemeinde e. V.),Gebet- und Musikabend,--
11/11/19,18:00,20:00,"Kirchgasse Einmündung Faulbrunnenstraße, 65183 Wiesbaden",Marxistisch-Leninistische Partei Deutschland,"Stoppt den völkerrechtswidrigen Krieg der türkischen Armee, Hände weg von Rojava",--
11/13/19,14:00,16:00,"Luisenplatz, 65185 Wiesbaden",GEW Kreisverband Wiesbaden-Rheingau,A 13 für alle! - 1. Tag der unbezahlten Arbeit von Grundschullehrkräften,--
