Datum,Beginn,Ende,Ort,Veranstalter,Thema,Teilnehmer
3/23/21,15:00,16:00,"Ecke Langgasse / Marktstraße, 65183 Wiesbaden",40 Tage für das Leben,Das Beten für ungeborene Kinder,1-35
3/24/21,15:00,16:00,"Ecke Langgasse / Marktstraße, 65183 Wiesbaden",40 Tage für das Leben,Das Beten für ungeborene Kinder,1-35
3/24/21,15:00,17:00,"Langgasse Ecke Gemeindebadgäßchen, 65183 Wiesbaden",DIE LINKE Wiesbaden,"Für Recht auf Abtreibung, Frauenrechte",6
3/25/21,15:00,16:00,"Ecke Langgasse / Marktstraße, 65183 Wiesbaden",40 Tage für das Leben,Das Beten für ungeborene Kinder,1-35
3/26/21,11:30,15:00,"Kochbrunnenplatz, 65183 Wiesbaden",Projekt Moses Jugend und Sozialwerk e. V.,"Aufenthaltsrecht, Familiennachzug, Identitätsklärung und Passbeschaffung",130
3/26/21,15:00,16:00,"Ecke Langgasse / Marktstraße, 65183 Wiesbaden",40 Tage für das Leben,Das Beten für ungeborene Kinder,1-35
3/27/21,10:00,16:00,"Neugasse Ecke Schulgasse, 65183 Wiesbaden",Deutscher Falun Dafa Verein e. V.,Das Gespenst der Kommunistischen Partei Chinas eliminieren! (endccp.com) Organraub in China,2-4
3/27/21,14:00,16:00,"Mauritiusplatz, 65183 Wiesbaden",Frau Doris Geldermann,"Grundrechte, Impfen, Coronamaßnahmen, Lockdown",50
3/27/21,15:00,16:00,"Ecke Langgasse / Marktstraße, 65183 Wiesbaden",40 Tage für das Leben,Das Beten für ungeborene Kinder,1-35
3/27/21,20:00,21:30,"Schlossplatz, 65183 Wiesbaden",Fridaysforfuture,Earth Hour,50
3/28/21,15:00,16:00,"Ecke Langgasse / Marktstraße, 65183 Wiesbaden",40 Tage für das Leben,Das Beten für ungeborene Kinder,1-35
3/29/21,15:00,16:00,"Ecke Langgasse / Marktstraße, 65183 Wiesbaden",40 Tage für das Leben,Das Beten für ungeborene Kinder,1-35
4/3/21,10:00,17:30,"Kirchgasse 45, 65183 Wiesbaden",Deutscher Falun Dafa Verein e. V.,Das Gespenst der Kommunistischen Partei Chinas eliminieren! (endccp.com) Organraub in China,4-6
4/3/21,14:00,18:00,"Neugasse Ecke Schulgasse, 65183 Wiesbaden",Mahnwache Demokratie WI RTK e. V.,"Corona, freiheitsbeschränkende Maßnahmen, Versammlungsfreiheit",27
4/3/21,16:00,17:30,"Mauritiusplatz, 65183 Wiesbaden",Pottershaus Wiesbaden e. V.,Frieden in unfriedlichen Zeiten,15
4/10/21,13:00,17:00,"Mauritiusplatz, 65183 Wiesbaden",Pottershaus Wiesbaden e. V.,Frieden in unfriedlichen Zeiten,15-45
4/10/21,14:00,16:00,"Schulgasse Ecke Neugasse, 65183 Wiesbaden", Frau Doris Geldermann,"Coronamaßnahmen, Grundrechte, Impfen, Meinungsfreiheit",40
4/14/21,11:00,14:00,Frankfurter Straße 44,Herr Telat Kurt,Sicherung der Arbeitsplätze bei WISAG,80-120
4/16/21,15:00,16:00,"Schlossplatz + Bowling Green, 65183 Wiesbaden",Coletivo Desmascarando Bolonaro Já!,Fora Bolsonaro,4
4/17/21,10:00,17:00,"Kirchgasse 45, 65183 Wiesbaden",Deutscher Falun Dafa Verein e. V.,Das Gespenst der Kommunistischen Partei Chinas eliminieren! (endccp.com) Organraub in China,4-6
4/17/21,12:00,13:30,"Schulgasse Ecke Neugasse, 65183 Wiesbaden",Frau Doris Geldermann,"Grundrechte, Impfen, Coronamaßnahmen, Lockdown",40
4/17/21,13:30,18:00,"Bahnhofsplatz, 65185 Wiesbaden",Wiesbadener Bündnis für Demokratie,klar Denken statt rechts abdrehen,100
4/17/21,14:00,16:00,"Luisenplatz, 65185 Wiesbaden",LimburgSTEHTauf,LimburgSTEHTauf- in Wiesbaden gegen Testpflicht an den Schulen,100
4/17/21,14:00,19:00,"Reisinger Anlage, 65185 Wiesbaden",Herr Kai Börner,Demokratie bewahren! Existenzen retten!,230
4/19/21,16:30,18:00,"Luisenplatz, 65185 Wiesbaden",Initiative Familien,Kein Lockdown für Kinderrechte,100
4/20/21,16:30,18:00,"Luisenplatz, 65185 Wiesbaden",Elterninitiative,Kein Lockdown für Kinder,100
4/21/21,16:30,18:00,"Luisenplatz, 65185 Wiesbaden",Eltern Initiative,Kein Lockdown für Kinderrechte,100
4/22/21,16:30,18:00,"Luisenplatz, 65185 Wiesbaden",Elterninitiative,Kein Lockdown für Kinder,100
4/23/21,15:00,16:30,"Dernsches Gelände, 65183 Wiesbaden",Keine Zwangstestung an Kindern,Gegen Zwangsmaßnahmen an unseren Kindern,250
4/23/21,16:30,18:00,"Luisenplatz, 65185 Wiesbaden",Familien Initiative,Kein Lockdown für Kinderrechte,100
4/24/21,10:30,16:00,"Kochbrunnenplatz, 65183 Wiesbaden",Heilpraxis Schwarz,Internationaler Protesttag gegen WLAN in Kitas und Schulen,12
4/24/21,13:00,16:30,"Mauritiusplatz, 65183 Wiesbaden",Mahnwache Demokratie WI RTK e. V.,Grundrechte verteidigen - Versammlungsfreiheit schützen - Corona-Impfzwang,50
4/24/21,14:00,20:30,"Reisinger Anlage, 65185 Wiesbaden",Anti-Querdenken,Stellung beziehen gegen Corona-Leugner und Faschisten,15
4/24/21,17:30,18:15,"Willi-Juppe-Straße 11, 65199 Wiesbaden",Mesopotamien Assyrischer Kultur- und Sportverein e. V.,Der Völkermord an den christlichen Armeniern und Assyrer 1915,30-50
4/25/21,14:00,15:30,"Bahnhofsplatz, 65189 Wiesbaden, bis Murnaustraße, 65189 Wiesbaden",ADFC Wiesbaden,Mehr Platz fürs Rad,60 - 90
4/27/21,12:00,15:00,"Marktplatz, 65183 Wiesbaden",Herr Telat Kurt,Sicherung der Arbeitsplätze bei Wisag,80-100
4/29/21,14:00,19:00,"Dernsches Gelände, 65183 Wiesbaden",Alternative für Deutschland (AfD) Landesverband Hessen,Freiheit statt Lockdown,400
4/29/21,15:30,19:00,"Dernsches Gelände, 65183 Wiesbaden",Omas gegen Rechts Wiesbaden,Protest gegen AfD-Veranstaltung am Marktplatz,60
4/30/21,13:45,14:45,"Lessingstraße 19, 65189 Wiesbaden",Pmk Wiesbaden,Wir möchten unseren Pfarrer zurück,20-25
4/30/21,14:00,15:00,"Theodor-Heuss-Brücke, 55252 Mainz-Kastel, bis Erbenheimer Warte, 55252 Mainz-Kastel",FFF Mainz,Rettet das Ostfeld,30
4/30/21,15:00,16:30,"Erbenheimer Warte, 55252 Mainz-Kastel",Die Linke Stadtfraktion,Ostfeld Bebauung stoppen!,30
4/30/21,17:00,18:30,"Luisenplatz, 65185 Wiesbaden",Bündnis: kein Lockdown für Kinderrechte,Kein Lockdown für Kinderrechte,150
5/1/21,10:00,17:30,"Kirchgasse 45, 65183 Wiesbaden",Deutscher Falun Dafa Verein e. V.,Das Gespenst der Kommunistischen Partei Chinas eliminieren! (endccp.com) Organraub in China,3-6
5/2/21,11:40,12:10,"Eisenbahnstraße, 55252 Mainz-Kastel, bis Kostheimer Brücke, 55246 Mainz-Kostheim",KlimaGerechtUnterwegs - Mobilitätswende JETZT!,Mobilitätswende,500-1.000
5/7/21,17:00,18:30,"Luisenplatz, 65185 Wiesbaden",Initiative Familie,Kein Lockdown für Kinderrechte,100
5/7/21,18:00,20:00,"Bahnhofsplatz, 65185 Wiesbaden",Red de Colombianos Rhein Main,Unterstützung Kolumbien,50
5/8/21,10:00,17:00,"Kirchgasse 45, 65183 Wiesbaden",Deutscher Falun Dafa Verein e. V.,Das Gespenst der Kommunistischen Partei Chinas eliminieren! (endccp.com) Organraub in China,3-6
5/8/21,10:30,12:30,"Kochbrunnenplatz, 65183 Wiesbaden",Amnesty International,Freiheit und qualifizierte Behandlung für Alexej Nawalny,10-15
5/8/21,14:00,16:00,"Mauritiusplatz, 65183 Wiesbaden",Mahnwache Demokratie WI RTK e. V.,"Coronamaßnahmen, Impfen, Lockdown, Demokratie",40
5/8/21,14:30,18:00,"Theodor-Heuss-Brücke, 55252 Mainz-Kastel, bis Biebricher Allee, 65203 Wiesbaden",Campen mit Abstand,Campen mit Abstand,1000
5/8/21,16:00,19:00,"Dernsches Gelände, 65183 Wiesbaden",Bündnis gegen Verschwörungsmythen und Polizeigewalt,Das System ist die Krise,50-100
5/9/21,18:00,20:00,"Michelsberg, 65183 Wiesbaden",Omas gegen Rechts Wiesbaden,Wir erinnern an das Ende der nationalsozialistischen Gewaltherrschaft am 8. Mai 1945 und gedenken der Opfer,50
5/12/21,17:00,18:30,"Herbert Anlage, 65185 Wiesbaden",Pflegerebellion,"Wenn nicht jetzt, wann dann - Pflegerebellion",500
5/14/21,17:00,18:30,"Luisenplatz, 65185 Wiesbaden",Initiative Familie,Kein Lockdown für Kinderrechte,100
5/15/21,13:00,15:30,"Neugasse Ecke Schulgasse, 65183 Wiesbaden",Mahnwache Demokratie WI RTK e. V.,Grundrechte verteidigen - Versammlungsfreiheit schützen,35
5/15/21,13:30,16:30,"Warmer Damm, 65183 Wiesbaden",Wiesbaden enteignet,Enteignungen jetzt,50
5/15/21,13:30,18:00,"Luisenplatz, 65185 Wiesbaden",Ein Hotelzimmer für Wohnungs- und Obdachlose,Hotelzimmer für Wohnungs- und Obdachlose,5-50
5/17/21,15:00,18:30,"Mauritiusplatz, 65183 Wiesbaden",Warmes Wiesbaden e. V.,IDAHOBIT* Wiesbaden 2021,80
5/20/21,10:30,16:00,"Kochbrunnenplatz, 65183 Wiesbaden",Äthiopien in Deutschland,Stopp Amhara Genozid in Äthiopien und Stopp Abschiebung in Deutschland lebende Flüchtlinge,150-200
5/20/21,13:00,15:30,"Marktplatz, 65183 Wiesbaden",Initiative gegen Abschiebung von Flüchtlingen in die Türkei,"Flüchtlinge und Abschiebepolitik, insbesondere in die Türkei",10-20
5/20/21,15:00,16:30,"Kurhausplatz, 65189 Wiesbaden",Bündnis Stadtklima,Klimanotstand,30
5/20/21,15:00,17:00,"Dernsches Gelände, 65183 Wiesbaden",ASG Mitarbeiter,Arbeiterentlassung,50-70
5/21/21,17:00,18:30,"Luisenplatz, 65185 Wiesbaden",Initiative Familie,Kein Lockdown für Kinderrechte,100
5/22/21,13:00,15:00,"Mauritiusplatz, 65183 Wiesbaden",Mahnwache Demokratie WI RTK e. V.,"Coronamaßnahmen, Impfen, Lockdown, Demokratie",35
5/22/21,16:00,18:00,"Kreuzung Michelsberg / Marktstraße / Kirchgasse / Langgasse, 65183 Wiesbaden",Pottershaus Christengemeinde Wiesbaden e. V.,Frieden in unfriedlichen Zeiten,10
5/25/21,14:00,19:00,"Mauritiusplatz, 65183 Wiesbaden",Black Community Foundation Wiesbaden,Einjähriger Todestag von George Floyd,10-20
5/28/21,17:00,18:30,"Luisenplatz, 65185 Wiesbaden",Initiative Familie,Kein Lockdown für Kinderrechte,100
5/29/21,13:00,15:00,"Mauritiusplatz, 65183 Wiesbaden",Mahnwache Demokratie WI RTK e. V.,"Coronamaßnahmen, Impfen, Lockdown, Demokratie",35
5/29/21,14:00,15:30,"Luisenplatz, 65185 Wiesbaden",Klimaliste Wiesbaden,Umweltthemen,50
5/29/21,16:00,17:30,"Mauritiusplatz, 65183 Wiesbaden",Pottershaus Wiesbaden e. V.,Frieden in unfriedlichen Zeiten,15
6/3/21,13:00,16:00,"Rheinstraße, 65185 Wiesbaden und Wilhelmstraße, 65185 Wiesbaden",ADFC Wiesbaden/Rheingau-Taunus e. V.,Pop-Up-Radwege,20
6/5/21,10:00,17:00,"Kirchgasse 45, 65183 Wiesbaden",Deutscher Falun Dafa Verein e. V.,Das Gespenst der Kommunistischen Partei Chinas eliminieren! (endccp.com) Organraub in China,3-8
6/5/21,13:00,15:30,"Mauritiusplatz, 65183 Wiesbaden",Mahnwache Demokratie WI RTK e. V.,"Demokratie, Versammlungsfreiheit, Coronamaßnahmen",40
6/6/21,12:00,15:00,"Eltville bis Bahnhofsplatz, 65185 Wiesbaden",FridaysForFuture RTK,"Aktionstage ""Mobilitätswende jetzt""",70
6/6/21,14:00,18:00,"Parkplätze Rheinstraße, 65189 Wiesbaden",DIE LINKE Wiesbaden,Verkehrswende,8
6/6/21,14:30,17:00,"Bahnhofsplatz, 65185 Wiesbaden, bis Bahnhofsplatz, 65185 Wiesbaden",Arbeitskreis Umwelt Wiesbaden,Klimagerechte #Fairkehrswende jetzt,200
6/9/21,18:00,19:00,"Bahnhofsplatz, 65185 Wiesbaden, bis Hafenweg, 65201 Wiesbaden",ADFC Wiesbaden,Gedenken an eine getötete Radfahrerein,40
6/12/21,11:00,18:30,"Neugasse Ecke Schulgasse, 65183 Wiesbaden",Deutscher Falun Dafa Verein e. V.,Das Gespenst der Kommunistischen Partei Chinas eliminieren! (endccp.com) Organraub in China,3-6
6/12/21,13:00,15:00,"Mauritiusplatz, 65183 Wiesbaden",Mahnwache Demokratie WI RTK e. V.,"Coronamaßnahmen, Impfen, Lockdown, Demokratie",35
6/12/21,16:00,17:30,"Mauritiusplatz, 65183 Wiesbaden",Pottershaus Wiesbaden e. V.,Frieden in unfriedlichen Zeiten,15
6/16/21,10:30,14:00,"Kurhausplatz / Bowling Green, 65189 Wiesbaden","ver.di Vereinte Dienstleistungsgewerkschaft, Bezirk Wiesbaden",Protest zur Gesundheitsministerkonferenz,100
6/16/21,17:00,20:00,"Dernsches Gelände, 65183 Wiesbaden",Aktionsbündnis gegen Abschiebung Rhein Main,Sofortiger Stopp aller Abschiebungen aus Hessen - und überhaupt!,500
6/19/21,11:00,16:00,"Neugasse Ecke Schulgasse, 65183 Wiesbaden",Deutscher Falun Dafa Verein e. V.,Das Gespenst der Kommunistischen Partei Chinas eliminieren! (endccp.com) Organraub in China,3-6
6/19/21,14:00,16:00,"Mauritiusplatz, 65183 Wiesbaden",Mahnwache Demokratie WI RTK e. V.,Grundrechte verteidigen - Versammlungsfreiheit schützen,35
6/20/21,14:00,17:00,"Dernsches Gelände, 65183 Wiesbaden, bis Bahnhofsplatz, 65185 Wiesbaden",Seebrücke Wiesbaden,"Seenotrettung, Situation geflüchteter Menschen",100
6/20/21,15:00,16:00,"Dernsches Gelände, 65183 Wiesbaden, bis Murnaustraße, 65189 Wiesbaden",ADFC Wiesbaden,Kidical Mass,150
6/21/21,11:00,13:30,"Zum Friedhof, 65205 Wiesbaden, bis Festplatz Gibber Kerb, 65203 Wiesbaden",Industriegewerkschaft Bauen-Agrar Umwelt,Tarifrunde im Bauhauptgewerbe 2021,100
6/26/21,14:00,16:00,"Mauritiusplatz, 65183 Wiesbaden",Mahnwache Demokratie WI RTK e. V.,"überzogene Maßnahmen in der Corona Pandemie, Grundrechte, Impfzwang für Kinder",35
6/26/21,16:00,17:30,"Mauritiusplatz, 65183 Wiesbaden",Pottershaus Wiesbaden e. V.,Frieden in unfriedlichen Zeiten,15
6/26/21,16:00,18:30,"Warmer Damm, 65189 Wiesbaden",Partei Team Todenhöfer - Die Gerechtigkeitspartei,Wahlkampfveranstaltung,1000
7/1/21,18:00,20:00,"Luisenplatz, 65185 Wiesbaden",Bündnis gegen jeden Antisemitismus RheinMain,Gegen jeden Antisemitismus,50
7/2/21,18:00,21:00,"Dernsches Gelände, 65183 Wiesbaden",Solidarisches Wiesbaden,Das System ist die Krise,150
7/3/21,13:00,15:00,"Mauritiusplatz, 65183 Wiesbaden",Mahnwache Demokratie WI RTK e. V.,Grundrechte verteidigen - Zwangsimpfung verhindern,20
7/3/21,13:00,16:30,"Kirchgasse / Ecke Faulbrunnenstraße, 65183 Wiesbaden",Albert Schweitzer Stiftung für unsere Mitwelt,Tierrecht / gegen Massentierhaltung,10-15
7/8/21,17:30,20:00,"Dernsches Gelände, 65183 Wiesbaden",Die PARTEI,Gegen Wahnmache,100
7/8/21,18:00,19:00,"Dernsches Gelände, 65183 Wiesbaden",Alternative für Deutschland Landesverband Hessen,Grundgesetz schützen - keine Selbstermächtigung der EU,300-400
7/9/21,10:30,14:00,"Bahnhofsplatz, 65185 Wiesbaden, bis Bahnhofsplatz, 65185 Wiesbaden",Bündnis gegen die A49,"Danni lebt, A49 illegal!",200
7/10/21,12:30,14:00,"Marktstraße Ecke Langgasse, 65183 Wiesbaden",Pottershaus Wiesbaden e. V.,Frieden in unfriedlichen Zeiten,15
7/10/21,13:00,15:00,"Mauritiusplatz, 65183 Wiesbaden",Mahnwache Demokratie WI RTK e. V.,Grundrechte verteidigen - Zwangsimpfung verhindern,20
7/10/21,13:45,17:30,"Mauritiusplatz, 65183 Wiesbaden",Activists for the Victims,Tierrechte / Veganismus,15-20
7/16/21,12:00,15:00,"Bahnhofsplatz, 65185 Wiesbaden, bis Mauritiusplatz, 65183 Wiesbaden",Fridays for future,Schulstreik fürs Klima,100
7/16/21,17:00,21:00,"Bahnhofsplatz, 65185 Wiesbaden",Pottershaus Wiesbaden e. V.,Frieden in unfriedlichen Zeiten,20
7/17/21,10:30,14:00,"Schulgasse Ecke Neugasse, 65183 Wiesbaden",BüSo LV Hessen,Keinen Krieg gegen Russland,3-5
7/17/21,12:00,17:30,"Mauritiusplatz, 65183 Wiesbaden",Herr Alexej Lange,Botschaft der Bibel in Bezug auf unser Grundgesetz,20
7/17/21,13:00,15:00,"Kranzplatz, 65183 Wiesbaden",Mahnwache Demokratie WI RTK e. V.,Grundrechte verteidigen - Zwangsimpfung verhindern,20
7/17/21,14:00,18:00,"Mauritiusplatz, 65183 Wiesbaden",Pottershaus Wiesbaden e. V.,Frieden in unfriedlichen Zeiten,20
7/24/21,11:00,18:30,"Kirchgasse 45, 65183 Wiesbaden",Falun Dafa Verein,Der bösartigen kommunistischen Partei Chinas ein Ende setzen endccp.com,5
7/24/21,13:00,15:00,"Mauritiusplatz, 65183 Wiesbaden",Mahnwache Demokratie WI RTK e. V.,Grundrechte verteidigen - Zwangsimpfung verhindern,20
7/30/21,19:00,23:00,"Luisenplatz, 65185 Wiesbaden, bis Luisenplatz, 65185 Wiesbaden",Feminista Wiesbaden,Femizide,50-300
7/31/21,10:30,18:30,"Kirchgasse 45, 65183 Wiesbaden",Deutscher Falun Dafa Verein e. V.,Der bösartigen kommunistischen Partei Chinas ein Ende setzen & Organraub in China,4-6
7/31/21,13:00,15:00,"Warmer Damm, 65189 Wiesbaden, bis Schlachthof, 65189 Wiesbaden",Warmes Wiesbaden e. V.,Christopher Street Day Wiesbaden (CSD),2.000
7/31/21,15:00,17:00,"Mauritiusplatz, 65183 Wiesbaden",Mahnwache Demokratie WI RTK e. V.,"Grundrechte, Impfzwang für Kinder",35
8/7/21,10:15,14:00,"Marktplatz Ecke Karl-Glässing-Straße, 65183 Wiesbaden",Bürgerrechtsbewegung Solidarität,Brücken statt Bomben - Schluss mit Green Deal,3-4
8/7/21,13:45,17:30,"Mauritiusplatz, 65183 Wiesbaden",Activists for the Victims,Tierrechte / Veganismus,15-20
8/7/21,14:00,16:30,"Schulgasse Ecke Neugasse, 65183 Wiesbaden",Mahnwache Demokratie WI RTK e. V.,Grundrechte verteidigen - Versammlungsfreiheit schützen,25
8/8/21,17:00,19:30,"Kransand-Ufer, 55252 Mainz-Kastel",WiesbadenZero Bürgerinitiative für ein klimaneutrales Wiesbaden bis 2035,Rechtzeitig wirksamer Klimaschutz,100
8/14/21,10:30,11:30,"Mauritiusplatz, 65183 Wiesbaden",CDU Kreisverband Wiesbaden,Armin Laschet in Wiesbaden,50
8/14/21,13:00,15:00,"Mauritiusplatz, 65183 Wiesbaden",Mahnwache Demokratie WI RTK e. V.,Grundrechte verteidigen - Zwangsimpfung verhindern,15
8/14/21,13:00,17:00,"Kirchgasse / Ecke Faulbrunnenstraße, 65183 Wiesbaden",Albert Schweitzer Stiftung für unsere Mitwelt,Tierrecht / gegen Massentierhaltung,10-15
8/14/21,16:00,18:00,"Mauritiusplatz, 65183 Wiesbaden",Pottershaus Wiesbaden e. V.,Frieden in unfriedlichen Zeiten,20
8/17/21,17:30,19:00,"Dernsches Gelände, 65183 Wiesbaden",Bündnis 90 / Die Grünen Kreisverband Wiesbaden,Wahlkampfveranstaltung,300-400
8/20/21,12:00,14:00,"Schlossplatz, 65183 Wiesbaden",Wir brauchen die Bodelschwingh-Schule,Schulentwicklungsplan der Stadt Wiesbaden,100
8/21/21,10:00,20:00,"Schlossplatz, 65183 Wiesbaden",DIE LINKE.,Pflegenotstand stoppen,10
8/21/21,13:45,17:30,"Marktstraße Ecke Langgasse, 65183 Wiesbaden",Activists for the Victims,Tierrechte / Veganismus,15-20
8/21/21,14:30,18:00,"Kranzplatz, 65183 Wiesbaden, bis Dernsches Gelände, 65183 Wiesbaden",Solidarisches Wiesbaden,Wir können uns die Reichen nicht mehr leisten,50-200
8/22/21,8:00,16:00,"Theodor-Heuss-Brücke, 55252 Mainz-Kastel, bis Hochheimer Straße, 55246 Mainz-Kostheim",Südwesttour,Ohne Kerosin nach Berlin,50
8/23/21,18:00,21:00,"Dernsches Gelände, 65183 Wiesbaden",Frau Katharina Wender,Sichere Fluchtwege schaffen,50 - 300
8/26/21,9:00,10:15,"Kaiser-Friedrich-Platz, 65183 Wiesbaden","ver.di Bezirk Wiesbaden, Fachbereich Finanzdienstleistungen",Tarifverhandlung private Banken,50
8/28/21,10:00,19:00,"Kirchgasse Ecke Luisenstraße, 65183 Wiesbaden",Deutscher Falun Dafa Verein e. V.,Der bösartigen kommunistischen Partei Chinas ein Ende setzen,3-7
9/1/21,15:00,18:00,"Langgasse / Kirchgasse, 65183 Wiesbaden",Albert Schweitzer Stiftung für unsere Mitwelt,Tierrecht / Massentierhaltung,3-6
9/3/21,14:00,22:00,"Neroberg, 65193 Wiesbaden",Stadtjugendring Wiesbaden e. V.,Überblick über Positionen der Parteien,100-200
9/4/21,13:45,17:30,"Schulgasse Ecke Neugasse, 65183 Wiesbaden",Activists for the Victims,Tierrechte / Veganismus,15-20
9/4/21,16:00,20:00,"Dernsches Gelände, 65183 Wiesbaden",Solibündnis für Afghanistan,Solidarität mit den Menschen in Afghanistan,100-359
9/6/21,11:00,14:00,"Langgasse / Kirchgasse, 65183 Wiesbaden",Albert Schweitzer Stiftung für unsere Mitwelt,Tierrecht / Massentierhaltung,3-6
9/8/21,16:00,21:00,"Wallufer Platz, 65197 Wiesbaden",DIE LINKE Wiesbaden,Wahlkampfveranstaltung,400
9/11/21,11:00,14:00,"Kirchgasse 28, 65183 Wiesbaden",Marxistisch-Leninistische Partei Deutschlands,Wählt internationalistische Liste / MLPD,50
9/11/21,13:00,16:30,"Kirchgasse Ecke Faulbrunnenstraße, 65183 Wiesbaden",Albert Schweitzer Stiftung für unsere Mitwelt,Tierrecht / gegen Massentierhaltung,10-15
9/11/21,13:00,15:00,"Schulgasse Ecke Neugasse, 65183 Wiesbaden",Mahnwache Demokratie WI RTK e. V.,Grundrechte verteidigen - Zwangsimpfung verhindern,15
9/11/21,16:00,18:00,"Marktstraße Ecke Langgasse, 65183 Wiesbaden",Pottershaus Wiesbaden e. V.,Frieden in unfriedlichen Zeiten,20
9/13/21,19:00,21:00,"Platz Lehrstraße, 65183 Wiesbaden",DIE LINKE,"Podiumsdiskussion institutioneller Rassismus (u. a. in Polizei, Militär und Behörden",100
9/15/21,17:00,21:00,"Herderstraße Ecke Emanuel-Geibel-Straße, 65185 Wiesbaden",DGB Wiesbaden Rheingau-Taunus,Diskussionsrunde zur Bundestagswahl,50
9/18/21,10:00,18:15,"Kirchgasse Ecke Luisenstraße, 65183 Wiesbaden",Deutscher Falun Dafa Verein e. V.,Der bösartigen kommunistischen Partei Chinas ein Ende setzen,5-9
9/18/21,12:00,13:00,"Friedrich-Ebert-Allee 2, 65185 Wiesbaden",Moment Mal - Aktion für eine offene Gesellschaft,Falsche Propheten,6-12
9/18/21,13:00,15:00,"Schulgasse Ecke Neugasse, 65183 Wiesbaden",Mahnwache Demokratie WI RTK e. V.,Grundrechte verteidigen - Zwangsimpfung verhindern,20
9/18/21,14:15,17:30,"Bahnhofsplatz, 65185 Wiesbaden, bis Dernsches Gelände, 65183 Wiesbaden",IG Metall Bezirksleitung Mitte,Jugendthemen für die Bundestagswahl sichtbar machen,60-90
9/19/21,15:00,16:00,"Dernsches Gelände, 65183 Wiesbaden, bis Wallufer Platz, 65197 Wiesbaden",ADFC Wiesbaden,Kidical Mass,99
9/19/21,18:00,20:00,"Herbert Anlage, 65185 Wiesbaden",Bündnis 90 / Die Grünen KV Wiesbaden,Rassismus & Diskriminierung,20-30
9/21/21,11:00,13:00,"Kochbrunnenplatz, 65183 Wiesbaden",dbb beamtenbund und tarifunion Landesbund Hessen,Tarifforderungen,20
9/21/21,15:00,18:00,"Bahnhofsplatz, 65185 Wiesbaden",DGB Wiesbaden Rheingau-Taunus,Echt gerecht - Deine Wahl,300
9/21/21,16:30,17:30,"Schlossplatz, 65183 Wiesbaden",Die Linke Wiesbaden,"""Kiff-In"" pro Legalisierung von Cannabis",50
9/21/21,17:30,20:00,"Dernsches Gelände, 65183 Wiesbaden",DIE LINKE. Wiesbaden,Außenpolitik / Situation in Afghanistan,50
9/22/21,10:00,14:00,"Rheinufer, 55252 Mainz-Kastel, bis Theodor-Heuss-Brücke, 55252 Mainz-Kastel",IG Bauen-Agrar-Umwelt,Demonstration zur laufenden Tarifrunde im Bauhauptgewerbe,300
9/22/21,17:00,20:00,"Marktplatz, 65183 Wiesbaden",Wiesbadener Bündnis für Demokratie,Für Demokratie und Rechtsstaatlichkeit,150
9/22/21,18:00,20:00,"Dernsches Gelände, 65183 Wiesbaden",Alternative für Deutschland (AfD) Landesverband Hessen,Abschluss Bundestagswahlkampf 2021 in Hessen,300-400
9/24/21,12:00,15:00,"Bahnhofsplatz, 65185 Wiesbaden, bis Bahnhofsplatz, 65185 Wiesbaden",Fridays For Future Wiesbaden,Klimakrise,1.000
9/25/21,9:00,13:00,"Mauergasse Ecke Neugasse, 65183 Wiesbaden",Fridays for future,Klimawahl,10
9/25/21,13:00,15:00,"Schulgasse Ecke Neugasse, 65183 Wiesbaden",Mahnwache Demokratie WI RTK e. V.,Grundrechte verteidigen - Zwangsimpfung verhindern,20
9/28/21,17:00,21:00,"Reduit, Mainz-Kastel",Herr Marc Nieswand,Neoliberalismus in Mainz und Mexiko,100
10/2/21,11:00,16:00,"Marktstraße Ecke Langgasse, 65183 Wiesbaden",Frohe Botschaft-Evangeliums-Christen-Baptisten,"Wo sind die Wurzeln unserer christlichen Grundwerte? Gottes Trost in Krisenzeiten?! Jesus Christus ""Der gute Hirte""?!",50
10/2/21,13:00,15:00,"Schulgasse Ecke Neugasse, 65183 Wiesbaden",Mahnwache Demokratie WI RTK e. V.,Grundrechte verteidigen - Zwangsimpfung verhindern,20
10/2/21,13:45,17:30,"Mauritiusplatz, 65183 Wiesbaden",Activists for the Victims,Tierrechte / Veganismus,15-20
10/2/21,16:00,18:00,"Kirchgasse Ecke Faulbrunnenstraße, 65183 Wiesbaden",Pottershaus Wiesbaden e. V.,Frieden in unfriedlichen Zeiten,20
10/5/21,9:30,11:30,"Thorwaldsenanlage, 65195 Wiesbaden, bis Thorwaldsenanlage, 65195 Wiesbaden",ver.di Bezirk Wiesbaden,Tarifrunde & Besoldungsrunde Land Hessen 2021,70
10/6/21,12:00,13:00,"Wilhelmstraße 10, 65185 Wiesbaden",Verband der Straßen- und Verkehrsbeschäftigten (VDStra.) Landesverband Hessen,Einkommensrunde 2021 in Hessen / Tarifverhandlungen TV-H,15
10/8/21,17:00,18:00,"Theodor-Heuss-Brücke, 55252 Mainz-Kastel, bis Rheinufer, 55252 Mainz-Kastel","Kinder- und Jugendzentrum in der Reduit, Amt für Soziale Arbeit Wiesbaden",Aktionsmarsch anlässlich des Weltmädchentags 2021 (Veranstaltung der Mädchenarbeitskreise Mainz und Wiesbaden,400
